# Interplanetary shocks list from IPShocks.com
# Generated on 14.10.2025
# Columns:
# Year
# Month (1-12)
# Day (1-31)
# Hour (0-23)
# Minute (0-59)
# Second (0-59)
# Spacecraft
# Shock type
# Magnetic field ratio
# Speed jump (km/s)
# Proton density ratio
# Proton temperature ratio
# Alfven speed upstream (km/s)
# Magnetosonic speed upstream (km/s)
# Plasma beta upstream
# Shock normal X
# Shock normal Y
# Shock normal Z
# Shock theta (degrees)
# Shock speed (km/s)
# Magnetosonic Mach number
2023; 8;10;11;48; 5;     SolO;FF;2.14;107.29; 2.10; 4.15; 43.10; 70.36; 2.00; 1.00; 0.07;-0.03;23.66; 532.97; 2.87
2023; 9; 3; 7;13; 9;     SolO;FF;1.38; 30.71; 1.61; 1.83; 45.35; 77.70; 2.58; 0.89;-0.05;-0.45;47.67; 439.66; 1.19
2023; 9; 8;19;32;15;     SolO;FF;2.74;134.20; 2.53; 3.27; 34.30; 74.68; 4.51; 0.95;-0.19;-0.25;81.43; 722.17; 3.05
2023; 9; 9;10;41;52;     SolO;FF;1.67;186.82; 2.08; 9.76; 85.93;108.06; 0.71; 0.80;-0.45;-0.40; 1.85; 804.26; 3.24
2023; 9;13; 3;13;38;     SolO;FF;1.95;134.35; 2.02; 4.59; 65.94; 98.08; 1.47; 0.75;-0.63;-0.18;30.57; 646.27; 3.43
2023; 9;20; 0;47;21;     SolO;FF;1.95; 68.16; 2.42; 2.48; 48.14; 79.58; 2.09; 0.91; 0.41; 0.13;49.75; 375.77; 1.56
2023;10;17;10;24; 0;     SolO;FF;2.07;171.71; 1.90; 4.40; 87.31;119.82; 1.06; 0.87;-0.50;-0.01;28.93; 738.04; 3.56
2023;11;25; 0;30;50;     SolO;FF;1.53; 64.33; 2.24; 2.68; 64.08; 90.14; 1.18; 0.87;-0.06; 0.49;64.50; 529.61; 1.28
2023;11;29; 7;51; 9;     SolO;FF;1.67; 40.02; 1.72; 2.01; 43.02; 69.75; 1.97; 0.98; 0.04;-0.19;39.88; 420.16; 1.45
2023;11;30;10;47;27;     SolO;FF;2.50;114.55; 2.47; 1.78; 49.96; 75.02; 1.51; 1.00;-0.05; 0.00;83.00; 546.01; 2.57
2023;12; 1; 2;26;39;     SolO;FF;1.83; 48.16; 2.21; 1.70; 50.15; 75.71; 1.57; 0.97; 0.20;-0.12;63.08; 538.14; 1.24
2023;12;10;21;14;30;     SolO;FF;2.25; 45.11; 2.98; 2.86; 14.12; 51.28;14.77; 0.95; 0.30; 0.08;61.86; 352.89; 1.39
2023;12;27;22;22;21;     SolO;FF;1.75; 44.20; 1.73; 1.77; 32.86; 62.76; 3.19; 0.68;-0.62;-0.40;26.60; 341.92; 1.94
2023;12;29; 2;28;11;     SolO;FF;2.15; 49.38; 2.48; 1.09; 26.23; 58.41; 4.80; 0.99; 0.13;-0.06;77.09; 374.17; 1.42
